Issue Type,Summary,Description,Epic Name,Epic,Labels,Priority,Story Points,Status
Story,Build search and filter UI,"Implement interactive listing filters and search result rendering.",,Listings & Discovery,frontend search ui,High,5,Done
Story,Define booking data model,"Create booking schema with listing, user, date range, status, and total price.",,Booking & Wishlist,backend booking mongodb,High,3,Done
Story,Implement booking creation endpoint,"Create booking API with server-side price computation and validation.",,Booking & Wishlist,backend booking api,Highest,5,Done
Story,Implement user booking history endpoint,"Provide authenticated users with personal booking timeline.",,Booking & Wishlist,backend booking api,High,3,Done
Story,Implement booking cancellation endpoint,"Allow users to cancel eligible bookings with authorization checks.",,Booking & Wishlist,backend booking api,High,3,Done
Story,Build booking history page,"Render booking timeline and statuses in frontend user area.",,Booking & Wishlist,frontend booking page,Medium,3,Done
Story,Implement wishlist persistence model,"Store user wishlist references to listing entities.",,Booking & Wishlist,backend wishlist mongodb,Medium,2,Done
Story,Implement wishlist toggle API,"Add/remove listing from wishlist through single endpoint behavior.",,Booking & Wishlist,backend wishlist api,Medium,3,Done
Story,Implement wishlist retrieval API,"Return populated wishlist data for authenticated users.",,Booking & Wishlist,backend wishlist api,Medium,2,Done
Story,Build wishlist frontend page,"Display and manage saved listings from authenticated account.",,Booking & Wishlist,frontend wishlist page,Medium,3,Done
Story,Create admin dashboard page,"Provide admin overview entrypoint for platform operations.",,Admin Module,frontend admin,High,3,Done
Story,Create admin manage listings page,"Enable administrative listing visibility and operations.",,Admin Module,frontend admin listings,High,3,Done
Story,Implement admin add listing flow,"Allow admins to create new listings via protected interface.",,Admin Module,frontend admin listings backend,High,3,Done
Story,Implement admin edit listing flow,"Allow admins to update existing listings via protected interface.",,Admin Module,frontend admin listings backend,High,3,Done
Story,Implement admin delete listing flow,"Allow admins to remove listings through controlled actions.",,Admin Module,frontend admin listings backend,High,3,Done
Story,Apply admin authorization on backend routes,"Enforce admin middleware on write-sensitive listing operations.",,Admin Module,backend admin security,Highest,3,Done
Story,Create backend production Dockerfile,"Build optimized backend runtime image using multi-stage approach.",,Dockerization & Deployment Readiness,docker backend devops,Highest,5,Done
Story,Harden backend container runtime user,"Run backend process as non-root user for basic container security.",,Dockerization & Deployment Readiness,docker backend security,High,2,Done
Story,Create frontend production Dockerfile,"Build frontend static assets and serve through nginx runtime image.",,Dockerization & Deployment Readiness,docker frontend nginx,Highest,5,Done
Story,Configure nginx SPA fallback routing,"Ensure deep links resolve to index for React Router paths.",,Dockerization & Deployment Readiness,nginx frontend routing,High,3,Done
Story,Configure nginx API reverse proxy,"Proxy /api traffic to backend service within compose network.",,Dockerization & Deployment Readiness,nginx proxy backend,Highest,3,Done
Story,Create docker-compose orchestration,"Define frontend/backend services, ports, environment, and shared network.",,Dockerization & Deployment Readiness,docker compose devops,Highest,5,Done
Story,Add backend dockerignore rules,"Optimize backend build context and prevent accidental secret inclusion.",,Dockerization & Deployment Readiness,docker backend hygiene,Medium,2,Done
Story,Add frontend dockerignore rules,"Optimize frontend build context and exclude non-runtime artifacts.",,Dockerization & Deployment Readiness,docker frontend hygiene,Medium,2,Done
Story,Document Docker architecture and commands,"Prepare docker.md explaining image strategy, compose flow, and commands.",,Dockerization & Deployment Readiness,docker docs devops,High,3,Done
Story,Run full container smoke validation,"Validate app boot sequence and API availability in containerized runtime.",,Dockerization & Deployment Readiness,docker qa validation,High,3,In Review
Story,Prepare architecture explanation document,"Consolidate technical narrative for backend/frontend/module design choices.",,Documentation & Academic Demo Readiness,docs architecture,High,3,Done
Story,Prepare controller and auth explanation guide,"Document controller responsibilities and middleware security flow for viva.",,Documentation & Academic Demo Readiness,docs backend auth,High,3,Done
Story,Review README consistency with delivered features,"Reconcile documented features/endpoints with implemented behavior.",,Documentation & Academic Demo Readiness,docs qa review,Medium,2,In Review
Story,Prepare faculty demo script,"Create structured 5-7 minute demo sequence covering user and admin flows.",,Documentation & Academic Demo Readiness,presentation planning,High,3,In Progress
Story,Capture visual evidence for Jira cards,"Attach screenshots/log snapshots for major completed features and Docker runtime.",,Documentation & Academic Demo Readiness,presentation docs jira,Medium,2,In Progress
Story,Create release-day readiness checklist,"Prepare final pre-demo checklist for environment, credentials, and flow control.",,Documentation & Academic Demo Readiness,planning release,Medium,2,To Do
Story,Add limitations and future roadmap card,"Document technical constraints and prioritized enhancements post-submission.",,Documentation & Academic Demo Readiness,planning roadmap docs,Low,2,To Do
Story,Add CI pipeline improvement task,"Plan lint/build automation workflow for future production maturity.",,Documentation & Academic Demo Readiness,ci devops backlog,Low,3,To Do
Epic,Automated Testing & Quality Assurance,"Implement and operationalize backend automated testing with Jest and Supertest, including validation strategy and CI readiness.",Automated Testing & Quality Assurance,,testing qa backend,Highest,8,In Progress
Story,Setup automated testing environment using Jest,"Configure Jest in backend project and add npm test script in package.json for consistent local execution.",,Automated Testing & Quality Assurance,jest backend testing,Highest,3,Done
Story,Integrate Supertest for API testing,"Integrate Supertest with exported Express app to support request/response assertions without starting a real server.",,Automated Testing & Quality Assurance,supertest backend testing,Highest,3,Done
Story,Implement health check API test,"Add automated test coverage for /api/health endpoint and validate response contract.",,Automated Testing & Quality Assurance,health-api testing backend,High,2,Done
Story,Implement authentication API tests (signup and login),"Cover signup user creation and login token generation flows using dynamic test users to ensure repeatability.",,Automated Testing & Quality Assurance,auth testing backend,Highest,5,Done
Story,Implement protected route testing,"Validate JWT-protected endpoint behavior and verify unauthorized access returns correct error status.",,Automated Testing & Quality Assurance,authz testing security,Highest,3,Done
Story,Handle test data isolation and dynamic input generation,"Use in-memory MongoDB lifecycle hooks and random email generation to avoid cross-test contamination and duplicate-user conflicts.",,Automated Testing & Quality Assurance,test-data isolation mongodb,High,5,Done
Story,Implement negative test cases for API validation,"Expand negative-path coverage for invalid credentials, missing fields, and unauthorized access handling.",,Automated Testing & Quality Assurance,negative-tests validation backend,High,5,In Progress
Story,Execute integration testing for backend APIs,"Run full backend API integration suite and validate end-to-end database interaction under test environment.",,Automated Testing & Quality Assurance,integration-testing backend qa,High,3,Done
Story,Debug and fix test failures,"Analyze failing cases, patch backend/test setup issues, and stabilize automated test execution.",,Automated Testing & Quality Assurance,debug qa backend,Medium,3,In Review
Story,Integrate automated testing into CI/CD pipeline using GitHub Actions,"Create CI workflow to run backend tests on push/PR and fail pipeline on test failures.",,Automated Testing & Quality Assurance,github-actions ci testing,Medium,5,To Do
